bathrooms,ROOMS,bedrooms,Yr_changed,price,STYLE,KITCHENS,FIREPLACES,sqft_living,latitude,longitude,ocean_proximity
3,7,3,2009.0,1375000.0,3 Story,2.0,1,971,38.90293122,-77.04933013,1
3,10,3,2016.0,837500.0,3 Story,3.0,1,1062,38.9029839,-77.04937859,1
3,9,3,1978.0,1500000.0,3 Story,2.0,1,1101,38.90303826,-77.04929366,1
3,9,4,2007.0,1625000.0,3 Story,2.0,1,957,38.90307854,-77.04925852,1
3,9,4,2003.0,890000.0,3 Story,1.0,0,796,38.90310021,-77.04914717,1
6,10,6,2002.0,1125000.0,3 Story,3.0,2,935,38.90318371,-77.04916821,1
4,9,5,2003.0,1500000.0,3 Story,2.0,2,882,38.90312809,-77.04904366,1
4,10,4,2004.0,855000.0,3 Story,2.0,1,883,38.90308025,-77.04904409,1
3,8,3,2016.0,1725000.0,3 Story,2.0,2,956,38.903029,-77.04903794,1
3,9,4,2004.0,1260000.0,3 Story,2.0,1,958,38.90297423,-77.04902442,1
2,10,3,2008.0,1275000.0,3 Story,2.0,1,957,38.90292999,-77.04904572,1
4,12,4,1988.0,925000.0,3 Story,2.0,0,972,38.90288036,-77.04903911,1
4,9,6,2000.0,500000.0,3 Story,3.0,1,1600,38.89715546,-77.04925144,1
2,7,3,2000.0,320000.0,2 Story,2.0,0,1600,38.89715669,-77.04931092,1
1,6,2,2014.0,460000.0,2 Story,1.0,0,960,38.8971068,-77.04906131,1
2,13,4,2004.0,585000.0,4 Story,4.0,0,1482,38.91314114,-77.04683857,1
3,11,7,1984.0,1361000.0,3 Story,2.0,2,1052,38.91299664,-77.04685877,1
2,7,2,2015.0,805000.0,2 Story,1.0,0,968,38.91303458,-77.04704939,1
1,7,2,2000.0,585000.0,2 Story,1.0,1,787,38.91289536,-77.04714258,1
3,9,4,2013.0,570000.0,3 Story,2.0,2,1029,38.91338131,-77.04682397,1
1,6,3,2002.0,149500.0,2 Story,1.0,1,960,38.91744724,-77.03944022,1
2,7,3,2008.0,1155200.0,2 Story,1.0,1,1450,38.91768328,-77.03936759,1
1,6,3,2000.0,741600.0,2 Story,1.0,1,1134,38.91793494,-77.03946724,1
2,7,3,2009.0,730000.0,2 Story,1.0,0,1133,38.9179437,-77.03941063,1
3,7,3,2011.0,755000.0,2 Story,1.0,0,1133,38.91795111,-77.03935228,1
3,6,3,2004.0,849000.0,2 Story,1.0,1,1213,38.91793502,-77.03923869,1
3,8,4,2014.0,581000.0,2 Story,2.0,0,1295,38.91794234,-77.03918116,1
3,9,3,2008.0,1264000.0,3 Story,1.0,1,1882,38.9174391,-77.03927163,1
2,6,3,2004.0,584700.0,2 Story,1.0,0,771,38.91798126,-77.03887699,1
3,11,4,2004.0,570000.0,2 Story,2.0,5,1600,38.91613939,-77.04056778,1
1,6,4,2005.0,870000.0,2 Story,1.0,2,1600,38.91613797,-77.04049629,1
1,6,3,2015.0,249000.0,2 Story,1.0,0,1600,38.91615027,-77.04035505,1
2,5,2,2009.0,440000.0,2 Story,1.0,1,1600,38.91615282,-77.04028402,1
3,10,6,2008.0,1225000.0,2 Story,3.0,0,1600,38.91615338,-77.04021668,1
3,9,3,2009.0,999000.0,3 Story,1.0,1,1587,38.91613904,-77.04001488,1
2,6,3,1977.0,1210000.0,3 Story,1.0,0,1496,38.91322272,-77.03027692,1
3,8,4,2011.0,1025000.0,3 Story,2.0,1,1584,38.91322274,-77.03021223,1
3,6,4,1980.0,810000.0,3 Story,2.0,2,782,38.91322567,-77.03002786,1
3,9,4,1991.0,659000.0,3 Story,2.0,1,672,38.91322587,-77.0299611,1
